City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Nhulunbuy,AU,-12.2333,136.7667,88.41,55,20,13.8,few clouds
327,Waddan,LY,29.1614,16.139,71.91,43,2,7.0,clear sky
328,Tongzi,CN,28.7829,105.0877,86.41,61,77,4.43,broken clouds
329,Cidreira,BR,-30.1811,-50.2056,60.76,78,99,11.77,overcast clouds
330,Varna,BG,43.2167,27.9167,48.43,93,20,2.3,fog
331,Aripuana,BR,-9.1667,-60.6333,74.7,78,44,0.47,scattered clouds
332,Namie,JP,37.4833,141.0,87.78,59,3,1.01,clear sky
333,Hirara,JP,24.8,125.2833,87.66,66,20,20.71,few clouds
334,Bullhead City,US,35.1478,-114.5683,87.71,20,1,0.0,clear sky
335,Mnogovershinnyy,RU,53.9353,139.9242,41.22,57,89,12.75,overcast clouds
336,Corrente,BR,-3.7367,-43.3394,74.53,89,1,4.27,clear sky
337,Puerto Leguizamo,CO,-0.1934,-74.7819,72.5,98,56,1.34,broken clouds
338,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,24.16,few clouds
339,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,70,90,11.5,overcast clouds
340,Beringovskiy,RU,63.05,179.3167,39.2,98,100,20.67,light rain
341,Port Blair,IN,11.6667,92.75,85.1,69,44,9.53,scattered clouds
342,Iwanai,JP,42.9744,140.5089,68.41,94,100,14.23,moderate rain
343,Teguldet,RU,57.3064,88.1667,35.96,80,100,3.74,overcast clouds
344,Bani Walid,LY,31.7566,13.9942,65.55,84,0,2.42,clear sky
345,Mahajanga,MG,-15.7167,46.3167,77.02,65,20,5.75,few clouds
